manager_id,manager_name,type,style,strategy,sector
1338,Formue Nord,Event Driven,Discretionary,Fundamental,Global
1339,Formuepleje Fund Management,LongOnly,Risk Parity,Multi Strategy,Global
1340,Formula Growth Limited,Market Neutral,Discretionary,Fundamental,North America
1348,Fortem Capital,Market Neutral,Systematic,Multi Strategy,Global
4155,Fortera BV,Crypto,Discretionary,Digital Asset Allocator,Global
3976,Fortlake Asset Management,Fixed Income,Discretionary,Multi Strategy,Real Estate
3768,Fortune Financial Strategies,Fixed Income,Discretionary,Fundamental,Credit
1353,Four Seasons Commodities,CTA,Discretionary,Market Neutral,Agricultural
1357,Franklin K2,Hedge Fund,Fund of Funds,Diversified,Global
1358,Franklin Templeton Investments,Hedge Fund,Fund of Funds,Diversified,Global
4016,Frontier Commodities,CTA,Discretionary,Fundamental,Commodity
1407,Gabelli,Event Driven,Discretionary,MergerArb,US
3677,Gaines Capital,CTA,Systematic,Multi Strategy,Global
4043,Galliant Advisors,Equity LS,Discretionary,Fundamental,North America
3916,Gavea Investimentos,Hedge Fund,Discretionary,Fundamental,Emerging
3799,GaveKal Capital,Equity LS,Discretionary,Fundamental,Asia
1429,GCP,Fixed Income,Discretionary,ABS,Global
3760,Geneva Capital Partners,Fixed Income,Discretionary,Fundamental,High Yield
1442,Gersemi Asset Management AS,Equity LS,Discretionary,Fundamental,Shipping
4224,Gesda Capital,Equity LS,Discretionary,Fundamental,Global
4044,Gladius Capital Management,Hedge Fund,Discretionary,Option Strategy,Volatility
4068,Gladwyne,Fixed Income,Discretionary,Credit,Global
3802,Glazer Capital,Event Driven,Discretionary,Fundamental,Global
1468,Global Credit Advisers,Fixed Income,Discretionary,Fundamental,Global
1476,Global Sigma Group,CTA,Systematic,Market Neutral,Volatility
1489,GMO,Hedge Fund,Fund of Funds,Diversified,Global
4045,GMT Capital Corp,Equity LS,Discretionary,Fundamental,Global
3331,Gnomon Alpha,CTA,Systematic,Fundamental,Global
4200,Going International Asset Management Limited,CTA,Systematic,Short Term,Global
3803,Golden Nest Capital Management,Equity LS,Discretionary,Fundamental,Global
1506,Gordian Capital,Hedge Fund,Systematic,Multi Strategy,Global
4046,Governors Lane,Event Driven,Discretionary,Fundamental,Global
1512,Graham Capital Mgmt LP,CTA,Discretionary,Fundamental,Global
4047,Grand Alliance Asset Management,Market Neutral,Discretionary,Fundamental,Asia
1516,GrandLine Technologies,Crypto,Systematic,Market Neutral,Global
3796,Granite Capital,CTA,Systematic,Option Strategy,Global
1526,GreenAsh,Equity LS,Discretionary,Fundamental,Global
4402,Greene Capital,CTA,Systematic,Trend Following,Global
